Platform,Customer UID,Customerid,January 2024_totalAmount,January 2024_Amount After Margin,January 2024_amountReceived,December 2023_totalAmount,December 2023_Amount After Margin,December 2023_amountReceived,November 2023_totalAmount,November 2023_Amount After Margin,November 2023_amountReceived,October 2023_totalAmount,October 2023_Amount After Margin,October 2023_amountReceived,September 2023_totalAmount,September 2023_Amount After Margin,September 2023_amountReceived,August 2023_totalAmount,August 2023_Amount After Margin,August 2023_amountReceived,July 2023_totalAmount,July 2023_Amount After Margin,July 2023_amountReceived,June 2023_totalAmount,June 2023_Amount After Margin,June 2023_amountReceived,May 2023_totalAmount,May 2023_Amount After Margin,May 2023_amountReceived,April 2023_totalAmount,April 2023_Amount After Margin,April 2023_amountReceived,March 2023_totalAmount,March 2023_Amount After Margin,March 2023_amountReceived,February 2023_totalAmount,February 2023_Amount After Margin,February 2023_amountReceived,January 2023_totalAmount,January 2023_Amount After Margin,January 2023_amountReceived
AZURE,ce869ded-002d-4b95-ac13-1496c7585c63,6713,80959.79,95246.81176,95246,79144.78,93111.50588,93111,76927.73,90503.21176,90503,67579.97,79505.84706,79505,64306.46,75654.65882,75654,64601.71,76002.01176,76002,59025.41,69441.65882,69441,54180.67,63741.96471,63741,52135.59,61335.98824,61335,50537.59,59455.98824,59455,51556.52,60654.72941,60654,47363.53,55721.8,55721,52208.05,61421.23529,61421
AZURE,d34463a2-2bef-44d2-b368-4345a8c639fc,9651,4922.7,5791.411765,5791,4236.34,4983.929412,4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,edb4fb64-2884-4ce0-960e-df9dc5e0bf71,5609,1133.56,1333.6,1333,1132.62,1332.494118,1332,1098.0,1291.764706,1291,1129.39,1328.694118,1328,1090.04,1282.4,1282,1110.25,1306.176471,1306,1111.85,1308.058824,1308,1087.43,1279.329412,1279,1107.16,1302.541176,1302,1084.42,1275.788235,1275,1122.03,1320.035294,1320,901.63,1060.741176,1060,657.94,720.5252941,720
AZURE,7db48bcd-0d66-46e0-9015-7d4389260b5d,8827,19420.81,22848.01176,22848,19424.07,22851.84706,22851,18857.74,22185.57647,22185,19423.9,22851.64706,22851,18722.18,22026.09412,22026,19109.05,22481.23529,22481,19134.67,22511.37647,22511,18670.15,21964.88235,21964,19010.97,22365.84706,22365,18574.78,21852.68235,21852,19222.22,22614.37647,22614,17269.15,20316.64706,20316,415.14,488.4,488
AZURE,86fb359e-1360-4ab3-b90d-2a68e8c007b9,6412,388766.13,457371.9176,457370,354377.86,416915.1294,416915,324985.04,382335.3412,382334,320277.14,376796.6353,376796,292519.18,344140.2118,344140,313554.61,368887.7765,368887,339016.68,398843.1529,398843,306377.77,360444.4353,360444,285467.95,335844.6471,335844,262304.98,308594.0941,308594,268592.42,317231.8312,317231,236730.81,278506.8353,278506,223558.7,263010.2353,263010
AZURE,e656f7a7-923b-4565-840b-bd9c18f4fd2d,6698,3238.15,3809.588235,3809,3232.86,3803.364706,3803,12540.15,14753.11765,14753,5913.34,6956.870588,6956,3205.65,3771.352941,3771,13959.88,16423.38824,16423,158423.53,186380.6235,186379,111318.03,130962.3882,130962,33535.78,39453.85882,39453,20392.74,23991.45882,23991,8590.76,10106.77647,10106,7906.13,9301.329412,9301,9136.07,10748.31765,10748
AZURE,127d0bca-e9d0-4fcb-bb59-2ac895723837,6193,9634.55,11334.76471,11709,9633.69,11333.75294,11708,9361.86,11013.95294,11388,9620.39,11318.10588,11693,9301.13,10942.50588,11317,10560.33,12423.91765,12799,17955.52,21124.14118,25204,20949.11,24646.01176,28726,20002.82,23532.72941,27612,25396.04,29877.69412,33957,25613.6,30133.64706,34213,18529.49,21799.4,25879,17038.34,20045.10588,24125
AZURE,2304b266-8fea-47d5-b923-c34055290745,6784,635.94,748.1647059,748,635.89,748.1058824,748,623.5,733.5294118,733,635.01,747.0705882,747,619.45,728.7647059,728,625.18,735.5058824,735,626.06,736.5411765,736,644.84,758.6352941,758,695.03,817.6823529,817,688.35,809.8235294,809,703.32,827.4352941,827,657.06,773.0117647,773,704.34,828.6352941,828
AZURE,aafcd781-1d8b-474e-ac43-7abbc3503e0f,6853,147403.05,168330.4412,168330,151487.83,173136.5253,173136,140243.04,159913.3076,159913,156225.93,178717.7718,178717,146858.64,167729.3135,167729,132847.17,151292.0135,151292,130899.17,148993.1159,148993,94718.06,111433.0118,111433,141676.58,161689.8147,161689,143858.71,167668.3459,167668,149680.42,174510.4759,174510,135030.49,157262.6906,157262,148363.25,171956.03,171956
AZURE,e6a7ff14-6e91-49d0-846d-830223e04f61,6230,1418.62,1668.964706,1668,,,,55.77,65.61176471,65,,,,5.78,6.8,6,122.08,143.6235294,143,73.03,85.91764706,85,,,,,,,,,,,,,,,,,,
AZURE,5fd29256-6365-4b91-abce-76991fd78388,8602,27786.72,32690.25882,32689,26764.1,31487.17647,31487,24575.04,28911.81176,28911,25030.95,29448.17647,29448,24066.6,28313.64706,28313,48894.78,57523.27059,57523,51821.73,60966.74118,60966,56717.29,66726.22353,66726,59193.33,69639.21176,69639,53593.39,63051.04706,63051,29088.13,34221.32941,34220,18713.72,22016.14118,22016,5528.04,6503.576471,6503
AZURE,e7971990-0829-4328-9e7f-f41300d4a5b2,9629,1623.66,1910.188235,1910,1532.67,1803.141176,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,b05d8285-01a8-496a-9ee6-b0440e69121c,9367,260584.97,298937.5947,298937,268582.86,308322.0635,308322,539502.85,627103.9671,627103,955618.92,1116653.884,1116653,46632.89,54862.22353,54862,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,4aac3c02-ed1d-418d-b698-158dc16c7c01,6925,6284.65,7393.705882,7393,3037.86,3573.952941,3573,615.17,723.7294118,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,0b14c51c-9fcc-49f4-8c7d-ea857c4aba63,4879,1138.53,1250.017059,1250,1137.62,1248.953529,1248,1130.45,1240.624118,1240,1136.87,1248.194706,1248,1121.46,1230.626471,1230,1116.81,1225.978235,1225,1118.4,1227.723529,1227,634.11,746.0117647,746,1444.85,1612.089412,1612,1681.4,1978.117647,1978,4549.39,5352.223529,5352,4316.64,5078.4,5078,4668.69,5492.576471,5492
AZURE,fa7c206c-a618-422e-87e5-abb944809d12,9324,7814.98,9194.094118,9194,7802.62,9179.552941,9179,7583.72,8922.023529,8922,7777.7,9150.235294,9150,7540.3,8870.941176,8870,2652.35,3120.411765,3120,,,,,,,,,,,,,,,,,,,,,
AZURE,57f46178-3702-48dc-975b-a7c5392b64c6,9220,9602.03,11296.50588,11296,9971.22,11730.84706,11730,9222.0,10849.41176,10849,9503.03,11180.03529,11180,9216.75,10843.23529,10843,9354.18,11004.91765,11004,9332.21,10979.07059,10979,1344.21,1581.423529,1581,,,,,,,,,,,,,,,
AZURE,50324121-0f0f-4bbc-908a-48b45c0cf25a,9157,56194.49,62779.71765,57959,55836.08,62358.35882,57538,54176.59,60409.91235,55595,37630.98,41794.56,41794,38091.13,42351.46706,42351,38166.49,42462.94882,42462,38113.43,42397.04706,42397,,,,47755.15,53748.73353,13791,,,,,,,,,,,,
AZURE,5daf842a-2f01-4360-972b-82cbb358a3ea,9435,8805.18,10359.03529,10359,11797.27,13879.14118,13879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,68a344fd-8515-4165-b972-4f90a86ce938,9745,535.94,630.5176471,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZURE,76d5d933-2ddc-40cb-a89f-0c4cd5964319,6343,114166.07,131092.1865,136717,86897.38,95790.24118,101415,86815.71,95701.69412,101326,87810.35,96873.21235,102498,85057.43,93674.87176,99299,84691.61,93303.76471,98928,84766.45,93382.77471,99007,51334.46,60393.48235,66018,103433.93,115366.5482,120991,104511.4,116590.0106,122215,106325.41,118692.8376,124317,99962.6,111301.7671,116926,105394.9,117588.8359,123213
AZURE,b04c2da1-cb08-4b2a-9099-51b492037918,8424,16981.92,19978.72941,19978,31549.73,37117.32941,37117,34271.57,40319.49412,40319,34327.64,40385.45882,40385,24241.97,28519.96471,28519,29960.26,35247.36471,35247,33480.54,39388.87059,64549,14568.83,17139.8,11669,24735.73,29100.85882,23636,,,,28235.88,33218.68235,33218,26953.33,31709.8,31709,24512.97,28838.78824,28838
AZURE,7e2eeedf-390e-4643-99cf-e51457f580e9,4937,29673.79,33392.22294,33392,29777.82,33514.74706,33514,29529.02,33223.81824,33223,27549.46,30895.24353,30895,23999.62,26728.47647,26728,22452.12,24921.85588,24921,24346.83,27148.79824,27148,15529.93,18270.50588,18270,24369.37,27180.50588,27180,26657.47,31361.72941,31361,26158.06,30774.18824,30774,23770.62,27965.43529,27965,26186.06,30807.12941,30807
AZURE,0927ee12-f790-418d-8303-d3055b87ad16,9194,44806.25,52713.23529,52713,44807.22,52714.37647,52714,42264.92,49723.43529,49722,25305.67,29771.37647,29770,7102.8,8356.235294,8355,7270.47,8553.494118,8553,15631.69,18390.22353,18390,2025.46,2382.894118,2382,,,,,,,,,,,,,,,
