customerName,c,subtotal
Padiyar Associates,189,0.0
Bhagiradha Chemicals & Industries Limited,60,0.0
1POINT1 SOLUTIONS,59,0.0
CaratLane Trading Private LImited,3,0.0
TVS Mobility Private Limited,3,0.0
Almasons Consulting,2,0.0
Brio Viva,2,0.0
42Gears Mobility Systems Private Limited,1,0.0
A.W. Faber-Castell (India) Pvt. Ltd.,1,0.0
Atomstate Technologies Pvt. Ltd.,1,0.0
Axis Concepts Capstone Private  Limited,1,0.0
CentraHub,1,0.0
Cumulations Technologies Pvt Ltd,1,0.0
Druva Data Solutions Private Limited,1,0.0
Exeter Premedia Services Private Limited,1,0.0
Fertis India Pvt. Ltd.,1,0.0
Formula Corporate Solutions India Pvt Ltd,1,0.0
Invilogic Software Private limited,1,0.0
KVP Business Solutions Pvt Ltd,1,0.0
Krishna Institute of Medical Sciences,1,0.0
MAXIVISION EYE HOSPITALS PRIVATE LIMITED,1,0.0
PROCESS POINT TECHNOLOGIES INDIA PRIVATE LIMITED,1,0.0
Themesoft Inc,1,0.0
Veracitiz Solutions Pvt Ltd,1,0.0
cornerstoneindia.in,1,0.0
sud-chemie-india.com,1,0.0
